user_name,text,link
S2_YeojaJOA_20,🍏 A가 좋아하는 소설웹툰 ,https://twitter.com/S2_YeojaJOA_20/status/1259727128309886979
paepai_stars,인정 그거 다 검열할꺼면 그 사상을 내보내고 있는 전연령 웹툰 그리는 남자나 패지 여작가가 빻취 있다고 작품활동 금지 땅땅 하는거 웃김 작가가 빻취 있는 말든 무슨 상관임? 작품퀄리티랑 재미만 있으면 되는거 아니였어?,https://twitter.com/paepai_stars/status/1259727110555353089
wish__wind,#보건복지부 #금연서포터즈 #보건복지부금연서포터즈 #웹툰 #카드뉴스 #금연_챌린지 #같이해요 #금연상담 #대학생 #대외활동 #흡연예방 #금연 #소통 #팔로우 #선팔 #맞팔 #좋아요 #폐건강 #금연 #알티 #마음 #리트윗,https://twitter.com/wish__wind/status/1259727101571133441
juinnim_trash,지금도 보는 웹툰이 너무 많은데 또 봐? 나 야화첩두 보고 수화도 보고 봉촌각시도 봐 너무 많아.....,https://twitter.com/juinnim_trash/status/1259727015126556672
wish__wind,월요일엔 웹툰🎨 수요일엔 '같이 해요'💰 금요일엔 카드뉴스📰 👇다른 SNS도 구경하세요👇 페이스북 : http://facebook.com/wish.wind.735 인스타그램 :http://instagram.com/wish__wind/ 블로그 : http://blog.naver.com/esse2937,https://twitter.com/wish__wind/status/1259726826785497091
Qurio8,사담계 오실ㄹ분 있으신가요~!! 축구얘기 좀 하고.. 소설이나 웹툰 얘기 좀 할 것 같아요! 욕설도 좀 있을 예정이라 괜찮으신 분들만 맘찍해주세요!💕 접률이 떨어지는ㄴ게 아니라.. 하루종일 거기에 가서 있을 수도 있어요..!,https://twitter.com/Qurio8/status/1259726761618632704
star_gggggg,얼하도 애니 나오나? 마도조사처럼 나오면 좋겠다 나중에 천관(김칫국이긴한데) 라프텔 들여오면 같이 보고싶음 ㅋ큐ㅋㅋ 웹툰도 좋은데ㅔ... 아 글구 천관 빨리 무료분이라도 보고픔 ... 웹툰무료분 넘 좋은데 원작도 보고파...,https://twitter.com/star_gggggg/status/1259726581548724226
Rakuku_man,교수님. .. . . 무언가 큰 착각을 하시는 것 같은데 저는 웹툰 과입니다..애니과는 학교에 존재하지 않습니다.... .,https://twitter.com/Rakuku_man/status/1259726418646204421
wkduck2,ㅇㅌ) 이거 볼 때마다 온 몸이 간지러워서 돌아버릴 것 같음.... 이게 바로 공감성 수치 이런건가 왜 내가 부끄럽지 난 웹툰 작가 지망생도 아닌데...,https://twitter.com/wkduck2/status/1259726295853928449
Selesting144,네이버 목요웹툰이군 슝,https://twitter.com/Selesting144/status/1259726245400477699
cherish_YJ_,웹툰 유일무이 로맨스 보는 사람 이거 과몰입해서 보면 개재밌어 ㄹㅇ,https://twitter.com/cherish_YJ_/status/1259726094317436929
kook_0901_3290,웹툰봄 ,https://twitter.com/kook_0901_3290/status/1259726091385630721
summerofkowloon,시각화도... 보통땐 영화같은 느낌으로 상상하는 것 같은데... 좀 실존인물 안나오고 에바쎄바인거는 웹툰처럼 뚝뚝 끊기는 느낌으로 머리속에 그림이 슬라이드쇼처럼 뜨는 느김...?,https://twitter.com/summerofkowloon/status/1259725984909021185
SS__omg34,오마이웹툰 정주행 이벤트 ,https://twitter.com/SS__omg34/status/1259725943171510272
ruee_gr8,웹툰 보고 원작 봤더니 유치하네요~ 이런다고 리뷰 저격 알티 돈 적도 있고...,https://twitter.com/ruee_gr8/status/1259725807913582594
sheepsir0325,웹툰에 들어갈 애들 캐디했는데... 맘에 드는 애 몇 나와서 만족스럽습니다👍 ,https://twitter.com/sheepsir0325/status/1259725786963034112
Rei_S2_Koga,포토샵이 효과 편집 넣기가 좋으니까 글레이징같은 실사풍은 대부분은 포토샵으로 하는 거 같아요! 원화 과정 배울 때나 주변 일러레분들도 포토샵으로 작업하시는 분들이 아직 많더라구요 🤔 웹툰 작가분들이 클튜가 대세고...,https://twitter.com/Rei_S2_Koga/status/1259725781715963904
spark9012,웹툰꽁짜로보는곳! http://bit.ly/2KUf8NV #ㅇㅑ한웹툰 #성인웹툰ㅁㅜㄹㅛ,https://twitter.com/spark9012/status/1259725423778205696
YT_jonnasagim,ㅅㅂ 내가 보는 웹툰이라서 더 놀램 ,https://twitter.com/YT_jonnasagim/status/1259725412986269696
Vvvv_0601,진짜 소설 읽을때도 김종찬이 개좋았는데 이런 외모로 웹툰나와서 연애를 해주시면 아이고 감사합니다 ,https://twitter.com/Vvvv_0601/status/1259725408502607872
